t,epoch,status,heading,course,speed,turn,maneuver,roa,inter_speed,inter_turn,traj_id,mmsi,calc_speed,direction,angular_difference,calc_acc,inter_lat,inter_lon,in_waterways,distance_shore
2022-07-05 16:26:24,1657038380.0,15,511.0,170.2,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.359291175709421,283.2231979125463,1.8612842030036632,-26.130724255024877,54.355707,10.156809,0,0.86461
2022-07-05 16:26:30,1657038380.0,15,511.0,170.2,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.3777211664267455,280.43097649268856,2.792221419857753,11.057994430394658,54.355558,10.156836,0,0.874619
2022-07-05 16:26:36,1657038411.0,15,511.0,178.2,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.371389285924469,280.05267149981177,0.3783049928767923,-3.7991283013660393,54.355409,10.156862,0,0.884728
2022-07-05 16:26:42,1657038411.0,15,511.0,178.2,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.356242584365949,281.2584571274796,1.205785627667808,-9.08802093511163,54.355261,10.156891,0,0.895267
2022-07-05 16:26:48,1657038411.0,15,511.0,178.2,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.33303542003513,283.6875182402946,2.4290611128150204,-13.924298598491625,54.355115,10.156926,0,0.906455
2022-07-05 16:26:54,1657038411.0,15,511.0,178.2,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.383833380381876,289.55592486819296,5.868406627898366,30.478776208047798,54.354972,10.156976,0,0.919068
2022-07-05 16:27:00,1657038411.0,15,511.0,178.2,5.3,128.0,0,0,5.30078125,128.0,0,244620045,5.747139103577035,298.8498063608852,9.293881492692208,217.98343391709503,54.35483,10.157053,0,0.934313
2022-07-05 16:27:06,1657038440.0,15,511.0,147.6,5.3,128.0,0,0,5.30078125,128.0,0,244620045,6.114896640612916,305.2259866340664,6.376180273181205,220.65452222152845,54.354689,10.157151,0,0.951572
2022-07-05 16:27:12,1657038440.0,15,511.0,147.6,5.3,128.0,0,0,5.30078125,128.0,0,244620045,6.243571439487165,308.48714586699657,3.261159232930197,77.20487932454975,54.354551,10.157259,0,0.965378
2022-07-05 16:27:18,1657038440.0,15,511.0,147.6,5.3,128.0,0,0,5.30078125,128.0,0,244620045,6.11021236745523,309.04971978395696,0.5625739169603889,-80.01544321916079,54.354417,10.157366,0,0.959647
2022-07-05 16:27:24,1657038440.0,15,511.0,147.6,5.3,128.0,0,0,5.291100694444444,128.0,0,244620045,5.973036391454831,310.1196609733902,1.069941189433223,-82.3055856002398,54.354288,10.157473,0,0.954374
2022-07-05 16:27:30,1657038440.0,15,511.0,147.6,5.3,128.0,0,0,5.249131944444445,128.0,0,244620045,6.255696406762028,315.9144945409484,5.794833567558214,169.59600918431832,54.354165,10.157598,0,0.950746
2022-07-05 16:27:36,1657038470.0,15,511.0,168.5,5.1,128.0,0,0,5.191225694444444,128.0,0,244620045,6.2360424468913935,317.5378871960891,1.6233926551407194,-11.792375922380671,54.354046,10.157726,0,0.947733
2022-07-05 16:27:42,1657038470.0,15,511.0,168.5,5.1,128.0,0,0,5.136506944444444,128.0,0,244620045,5.878969164383451,313.23946488739267,4.298422308696445,-214.2439695047653,54.353925,10.157838,0,0.94392
2022-07-05 16:27:48,1657038470.0,15,511.0,168.5,5.1,128.0,0,0,5.104100694444445,128.0,0,244620045,5.293886804658157,302.4958541469033,10.743610740489371,-351.0494158351769,54.353799,10.157917,0,0.937836
2022-07-05 16:27:54,1657038470.0,15,511.0,168.5,5.1,128.0,0,0,5.1015625,128.0,0,244620045,4.948449481461024,286.0715930985984,16.424261048304913,-207.2623939182796,54.353665,10.157955,0,0.928564
2022-07-05 16:28:00,1657038470.0,15,511.0,168.5,5.1,128.0,0,0,5.1015625,128.0,0,244620045,5.09856920828322,281.00875729324184,5.062835805356542,90.07183609331726,54.353524,10.157982,0,0.9181
2022-07-05 16:28:06,1657038502.0,15,511.0,177.2,5.1,128.0,0,0,5.1015625,128.0,0,244620045,5.207952578084561,278.7626357160615,2.246121577180361,65.63002188080506,54.353379,10.158004,0,0.907101
2022-07-05 16:28:12,1657038502.0,15,511.0,177.2,5.1,128.0,0,0,5.1015625,128.0,0,244620045,5.293888764355222,277.04368733018,1.7189483858815038,51.56171176239628,54.353231,10.158022,0,0.895663
2022-07-05 16:28:18,1657038502.0,15,511.0,177.2,5.1,128.0,0,0,5.1015625,128.0,0,244620045,5.289641918083452,276.65598523564813,0.3877020945318463,-2.54810776306158,54.353083,10.158039,0,0.88412
2022-07-05 16:28:24,1657038502.0,15,511.0,177.2,5.1,128.0,0,0,5.102379458015289,128.0,0,244620045,5.254376446057484,276.7008538473544,0.0448686117062493,-21.15928321558105,54.352936,10.158056,0,0.872663
2022-07-05 16:28:30,1657038502.0,15,511.0,177.2,5.1,128.0,0,0,5.113320924573158,128.0,0,244620045,5.2818674101273375,275.878775455053,0.8220783923013641,16.49457844191211,54.352788,10.158071,0,0.860982
2022-07-05 16:28:36,1657038502.0,15,511.0,177.2,5.1,128.0,0,0,5.133551907761429,128.0,0,244620045,5.352509424578061,275.80093052858354,0.0778449264694813,42.38520867043416,54.352638,10.158086,0,0.84913
2022-07-05 16:28:42,1657038532.0,15,511.0,177.5,5.2,128.0,0,0,5.158641357688898,128.0,0,244620045,5.345787581563956,275.03174831734043,0.7691822112431055,-4.033105808463233,54.352488,10.158099,0,0.83714
2022-07-05 16:28:48,1657038532.0,15,511.0,177.5,5.2,128.0,0,0,5.184158224464362,128.0,0,244620045,5.313683722385982,275.4527189157726,0.4209705984321772,-19.262315506784056,54.352339,10.158113,0,0.825305
2022-07-05 16:28:54,1657038532.0,15,511.0,177.5,5.2,128.0,0,0,5.206186372456749,128.0,0,244620045,5.278340140308288,275.4893373841966,0.0366184684239669,-21.206149246616768,54.352191,10.158127,0,0.813556
2022-07-05 16:29:00,1657038532.0,15,511.0,177.5,5.2,128.0,0,0,5.228030819705699,128.0,0,244620045,5.207659725853687,275.5640649602521,0.0747275760555226,-42.40824867276043,54.352045,10.158141,0,0.801979
2022-07-05 16:29:06,1657038560.0,15,511.0,177.4,5.3,128.0,0,0,5.250576993826604,128.0,0,244620045,5.172322756165936,275.602194614406,0.03812965415392,-21.20218181265088,54.3519,10.158155,0,0.790487
